pmcid	extension	filename
PMC31333	pl	1471-2105-2-1-s3.pl
PMC56898	pl	gb-2001-2-9-research0037-S1.pl
PMC59991	mm	gb-2001-2-11-research0046-s2.MM
PMC59991	raw	gb-2001-2-11-research0046-s7.RAW
PMC59991	mm	gb-2001-2-11-research0046-s8.MM
PMC126873	tab	gb-2002-3-9-research0048-s1.TAB
PMC126873	tab	gb-2002-3-9-research0048-s2.TAB
PMC126873	tab	gb-2002-3-9-research0048-s3.TAB
PMC133449	pl	gb-2002-3-11-research0065-s1.pl
PMC151306	tab	gb-2003-4-2-r16-s1.tab
PMC153504	pl	1471-2105-4-12-S2.pl
PMC161810	xsd	1472-6947-3-4-S2.xsd
PMC165444	pl	1472-6947-3-5-S2.pl
PMC193618	tab	gb-2003-4-6-r39-s1.tab
PMC193618	tab	gb-2003-4-6-r39-s2.tab
PMC193618	tab	gb-2003-4-6-r39-s3.tab
PMC193618	tab	gb-2003-4-6-r39-s4.tab
PMC193618	tab	gb-2003-4-6-r39-s5.tab
PMC193618	tab	gb-2003-4-6-r39-s6.tab
PMC193618	tab	gb-2003-4-6-r39-s7.tab
PMC193618	tab	gb-2003-4-6-r39-s8.tab
PMC193619	tab	gb-2003-4-6-r40-s3.tab
PMC193619	tab	gb-2003-4-6-r40-s4.tab
PMC193619	tab	gb-2003-4-6-r40-s5.tab
PMC193619	tab	gb-2003-4-6-r40-s6.tab
PMC193619	tab	gb-2003-4-6-r40-s7.tab
PMC193619	tab	gb-2003-4-6-r40-s8.tab
PMC193631	ps	gb-2003-4-7-r44-s4.ps
PMC193631	ps	gb-2003-4-7-r44-s6.ps
PMC317290	pl	1471-2180-3-24-S1.pl
PMC317290	pl	1471-2180-3-24-S2.pl
PMC329128	pl	gb-2003-4-11-r75-s5.pl
PMC329128	pl	gb-2003-4-11-r75-s6.pl
PMC368171	ps	pbio.0020077.sg002.ps
PMC373442	pl	1471-2105-5-19-S1.pl
PMC373442	pl	1471-2105-5-19-S3.pl
PMC387263	ps	pbio.0020081.sg001.ps
PMC387263	ps	pbio.0020081.sg002.ps
PMC387263	ps	pbio.0020081.sg003.ps
PMC387263	ps	pbio.0020081.sg004.ps
PMC387263	ps	pbio.0020081.sg005.ps
PMC387263	ps	pbio.0020081.sg006.ps
PMC387263	ps	pbio.0020081.sg007.ps
PMC387275	tex	pbio.0020108.sd018.tex
PMC403636	pl	1471-2105-5-34-S2.pl
PMC459209	sh	1471-2105-5-80-S1.sh
PMC509016	pl	1471-2105-5-100-S2.pl
PMC514491	ps	pbio.0020296.sg001.ps
PMC514697	lhs	1471-2105-5-104-S1.LHS
PMC521082	pl	1472-6947-4-16-S3.pl
PMC521082	pl	1472-6947-4-16-S4.pl
PMC521082	pl	1472-6947-4-16-S7.pl
PMC526187	pl	1471-2164-5-77-S2.pl
PMC526187	pl	1471-2164-5-77-S3.pl
PMC535937	pl	1471-2407-4-88-S3.pl
PMC535937	pl	1471-2407-4-88-S4.pl
PMC535937	pl	1471-2407-4-88-S5.pl
PMC535937	pl	1471-2407-4-88-S6.pl
PMC535937	pl	1471-2407-4-88-S7.pl
PMC545599	pl	gb-2004-5-10-r79-s5.pl
PMC545599	pl	gb-2004-5-10-r79-s7.pl
PMC555536	pl	1471-2105-6-37-S5.pl
PMC1090559	ps	1471-2105-6-97-S1.ps
PMC1156871	pl	1471-2105-6-133-S1.pl
PMC1159120	ps	nar_33_11_e100__Welsh.Sup.Fig1.ps
PMC1159120	ps	nar_33_11_e100__Welsh.Sup.Fig2.ps
PMC1159120	ps	nar_33_11_e100__Welsh.Sup.Fig3.ps
PMC1159120	ps	nar_33_11_e100__Welsh.Sup.Fig4.ps
PMC1181873	tex	pmed.0020174.sd001.tex
PMC1184081	xsd	1472-6947-5-21-S1.xsd
PMC1189081	r	1471-2105-6-177-S5.R
PMC1189082	m	1471-2105-6-195-S5.m
PMC1189082	m	1471-2105-6-195-S6.m
PMC1189082	m	1471-2105-6-195-S7.m
PMC1189082	m	1471-2105-6-195-S8.m
PMC1190156	pl	1471-2105-6-181-S3.pl
PMC1192790	py	1471-2105-6-159-S1.py
PMC1208893	xsl	1472-6947-5-30-S2.xsl
PMC1224853	ps	1471-2105-6-205-S1.ps
PMC1224853	ps	1471-2105-6-205-S2.ps
PMC1224853	ps	1471-2105-6-205-S3.ps
PMC1224853	ps	1471-2105-6-205-S4.ps
PMC1224853	ps	1471-2105-6-205-S5.ps
PMC1261158	m	1471-2105-6-233-S1.m
PMC1261158	mat	1471-2105-6-233-S2.mat
PMC1261161	r	1471-2105-6-239-S1.R
PMC1274323	pl	1472-6947-5-35-S2.pl
PMC1274323	pl	1472-6947-5-35-S4.pl
PMC1314899	tab	1471-2164-6-160-S5.tab
PMC1363773	mat	nar_34_3_905__MSDB.mat
PMC1382247	r	1471-2156-7-8-S1.R
PMC1395339	sas	1471-2105-7-85-S1.sas
PMC1395339	sas	1471-2105-7-85-S10.sas
PMC1395339	sas	1471-2105-7-85-S4.sas
PMC1395339	sas	1471-2105-7-85-S6.sas
PMC1395339	sas	1471-2105-7-85-S7.sas
PMC1395339	sas	1471-2105-7-85-S8.sas
PMC1409813	tex	pcbi.0020023.sd001.tex
PMC1413560	tex	1471-2105-7-34-S1.tex
PMC1420664	tex	pcbi.0020030.sd001.tex
PMC1447655	tex	pcbi.0020037.st001.tex
PMC1447655	tex	pcbi.0020037.st002.tex
PMC1447655	tex	pcbi.0020037.st003.tex
PMC1447655	tex	pcbi.0020037.st004.tex
PMC1450306	sps	1471-2105-7-107-S1.sps
PMC1450306	sps	1471-2105-7-107-S10.sps
PMC1450306	sps	1471-2105-7-107-S11.sps
PMC1450306	sps	1471-2105-7-107-S2.sps
PMC1450306	sps	1471-2105-7-107-S3.sps
PMC1450306	sps	1471-2105-7-107-S4.sps
PMC1450306	sps	1471-2105-7-107-S5.sps
PMC1450306	sps	1471-2105-7-107-S6.sps
PMC1450306	sps	1471-2105-7-107-S7.sps
PMC1450306	sps	1471-2105-7-107-S8.sps
PMC1450306	sps	1471-2105-7-107-S9.sps
PMC1479339	cr	1471-2164-7-73-S1.cr
PMC1479339	pl	1471-2164-7-73-S3.pl
PMC1482720	c	1471-2105-7-243-S5.C
PMC1482720	c	1471-2105-7-243-S6.C
PMC1508160	r	1471-2105-7-251-S1.R
PMC1513396	r	1471-2164-7-87-S1.R
PMC1513401	r	1471-2105-7-276-S9.R
PMC1513608	dtx	1471-2105-7-313-S1.dtx
PMC1513608	ins	1471-2105-7-313-S2.ins
PMC1524972	svg	1471-2407-6-99-S3.svg
PMC1538828	tex	0d78f679e293eb4015d4d7235c266b47_gkl130-suppl-info.tex
PMC1564146	pl	1471-2164-7-206-S13.pl
PMC1564146	pl	1471-2164-7-206-S14.PL
PMC1564146	pl	1471-2164-7-206-S15.pl
PMC1592472	m	1471-2342-6-12-S1.m
PMC1626094	r	1471-2105-7-467-S1.r
PMC1636072	c	1471-2105-7-473-S2.c
PMC1654196	pl	1471-2105-7-496-S1.pl
PMC1664577	ps	1471-2164-7-295-S4.ps
PMC1679814	tab	1471-2164-7-297-S10.tab
PMC1679814	tab	1471-2164-7-297-S4.tab
PMC1679814	tab	1471-2164-7-297-S5.tab
PMC1679814	tab	1471-2164-7-297-S6.tab
PMC1679814	tab	1471-2164-7-297-S8.tab
PMC1779513	ps	gb-2006-7-5-r37-S3.ps
PMC1779590	bib	gb-2006-7-8-404-s1.BIB
PMC1781470	r	1471-2105-7-538-S2.r
PMC1796903	r	1471-2105-8-25-S1.R
PMC1803800	pl	1471-2105-8-33-S3.pl
PMC1803800	pl	1471-2105-8-33-S4.pl
PMC1803800	pl	1471-2105-8-33-S5.pl
PMC1803800	pl	1471-2105-8-33-S6.pl
PMC1803800	tab	1471-2105-8-33-S8.tab
PMC1805499	php	1472-6947-7-3-S7.php
PMC1831760	rmd	1471-2415-7-3-S1.rmd
PMC1839111	pl	1471-2105-8-92-S4.pl
PMC1839128	r	gb-2007-8-1-r4-S2.R
PMC1852326	pl	1471-2105-8-113-S1.pl
PMC1852326	pl	1471-2105-8-113-S2.pl
PMC1852326	pl	1471-2105-8-113-S3.pl
PMC1884137	r	1472-6947-7-11-S1.R
PMC1890303	r	1471-2105-8-157-S1.R
PMC1892100	owl	1471-2105-8-S3-S3-S1.owl
PMC1892100	owl	1471-2105-8-S3-S3-S2.owl
PMC1892100	owl	1471-2105-8-S3-S3-S3.owl
PMC1892100	owl	1471-2105-8-S3-S3-S4.owl
PMC1892544	sql	1477-5956-5-8-S1.sql
PMC1905921	pl	1471-2105-8-187-S1.pl
PMC1913514	c	1475-925X-6-23-S1.c
PMC1913514	m	1475-925X-6-23-S3.m
PMC1913514	c	1475-925X-6-23-S4.c
PMC1914306	ps	rspb20060030s01.ps
PMC1925119	pl	1752-0509-1-27-S3.pl
PMC1925119	pl	1752-0509-1-27-S4.pl
PMC1925119	m	1752-0509-1-27-S5.M
PMC1925256	svg	1752-0509-1-26-S10.svg
PMC1925256	svg	1752-0509-1-26-S11.svg
PMC1925256	svg	1752-0509-1-26-S12.svg
PMC1925256	svg	1752-0509-1-26-S13.svg
PMC1925256	svg	1752-0509-1-26-S14.svg
PMC1925256	svg	1752-0509-1-26-S15.svg
PMC1925256	svg	1752-0509-1-26-S8.svg
PMC1925256	svg	1752-0509-1-26-S9.svg
PMC1929126	r	1471-2105-8-220-S1.r
PMC1929135	r	gb-2007-8-5-r79-S2.r
PMC1933441	gms	1471-2105-8-212-S3.gms
PMC1933441	gms	1471-2105-8-212-S4.gms
PMC1965489	m	1471-2105-8-256-S1.M
PMC1965489	m	1471-2105-8-256-S2.M
PMC1965489	mat	1471-2105-8-256-S3.MAT
PMC1988830	pl	1471-2199-8-68-S10.pl
PMC1988830	pl	1471-2199-8-68-S11.pl
PMC1988830	pl	1471-2199-8-68-S12.pl
PMC1988830	pl	1471-2199-8-68-S9.pl
PMC2000915	pl	1471-2105-8-312-S1.pl
PMC2034607	ps	1471-2105-8-270-S1.ps
PMC2034607	ps	1471-2105-8-270-S2.ps
PMC2034607	ps	1471-2105-8-270-S3.ps
PMC2082430	r	1471-2148-7-156-S1.R
PMC2093931	pl	1751-0473-2-5-S1.pl
PMC2147036	r	1471-2105-8-282-S3.R
PMC2180167	pl	1472-6947-7-32-S1.pl
PMC2190763	m	1752-0509-1-46-S3.m
PMC2194793	ph	1471-2105-8-397-S1.ph
PMC2211314	tex	1471-2148-7-228-S1.tex
PMC2211327	cpp	1471-2105-8-477-S3.cpp
